Course,University,Department,Entry Requirements,URL
['Data Analytics with Banking and Finance MSc'],['Sheffield Hallam University'],['Postgraduate Courses'],"['Undergraduate degree academic qualification with classification of 2:2 or equivalent in Computing, Computer Science, Maths or Statistics, Data Analytics, Data Science or other relevant areas, or appropriate work experience. ', ' ', 'Applicants who have acquired significant knowledge and skills in data analytics, database design and development using industry standard platforms and development environments or significant experience in financial technologies would be considered for admission. ', ' ', 'If you are an International or non-UK European student, you need an IELTS score of 6.0 with a minimum of 5.5 in all skills, or equivalent. ', ' ', 'Visit our website for further information.']",https://www.findamasters.com/common/clickCount.aspx?theid=68033&type=211&did=2021&url=https%3a%2f%2fwww.shu.ac.uk%2fcourses%2fcomputing%2fmsc-data-analytics-with-banking-and-finance%2ffull-time%2f2024
['MSc Data Science (Applied Urban Analytics)'],['The University of Manchester'],['School of Social Sciences'],"['Degree awardedMaster of Science (MSc)Duration1 yearEntry requirements ', 'High 2:1 honours degree (or overseas equivalent) ', ' ', 'For this pathway, we would expect applicants to evidence an interest and/or experience in topics related to urban analysis. Examples are: ', ' ', 'Working experience in urban-themed topics (e.g. data analyses for spatial phenomena, public policies or real estate market analysis) ', 'Experience in working in spatial or GIS-based data analysis ', 'Evidence of training in urban-themed methods or topics (e.g. GIS). ', ' ', 'See website for further details.']",https://www.findamasters.com/common/clickCount.aspx?theid=59102&type=211&did=4476&url=https%3a%2f%2fwww.manchester.ac.uk%2fstudy%2fmasters%2fcourses%2flist%2f11425%2fmsc-data-science-applied-urban-analytics%2f
['Medical Statistics and Health Data Science - MSc'],['University of Bristol'],['Faculty of Health Sciences'],"['An upper second-class honours degree or international equivalent in a subject with a strong quantitative element. Including, but not limited to, degrees in: Mathematics, Statistics, Physics, Computer Science, Operational Research, Electrical and electronic engineering, Economics, Accounting, Aerospace Engineering, Data Science, Computing, Operations Research, Econometrics, Astro Physics, Mechanical Engineering, Aeronautical Engineering, Systems Engineering, Electronic Engineering, Electrical Engineering, Nuclear Engineering. Joint-honours involving those degree topics (e.g. ‘Physics and French” or “Economics and History” are also acceptable.) ', ' ', 'For more information visit the institution website.']",https://www.findamasters.com/common/clickCount.aspx?theid=70189&type=211&did=6201&url=https%3a%2f%2fwww.bristol.ac.uk%2fstudy%2fpostgraduate%2fhealth-sciences%2fmsc-medical-statistics-and-health-data-science%2f%3futm_source%3dfindamasters.com%26utm_medium%3dreferral%26utm_campaign%3dlistings
['Big Data Biology - MSc'],['Cardiff University'],['Cardiff School of Biosciences'],['For entry requirements please visit our website: '],https://www.findamasters.com/common/clickCount.aspx?theid=68618&type=211&did=4084&url=https%3a%2f%2fwww.cardiff.ac.uk%2fstudy%2fpostgraduate%2ftaught%2fcourses%2fcourse%2fbig-data-biology-msc-full-time-1-year
['MSc - Applied AI and Data Science'],['Solent University'],['Department of Science and Engineering'],"['Honours degree at 2:2 or higher in any discipline, or extensive industrial experience in this area. ', ' ', 'Applicants should be able to show an interest in learning coding, AI and Data Science techniques. ', ' ', 'Qualifications equivalent to the above may also be considered – contact the University for further information. ', ' ', 'We also consider candidates with alternative qualifications and related professional experience. ', ' ', 'If you are applying from outside the UK, find information about entry requirements, visas and agents for your country here. ', ' ', 'For further information about UK, EU and international qualifications, please refer to our course entry requirement statement.']",https://www.findamasters.com/common/clickCount.aspx?theid=63613&type=211&did=2005&url=https%3a%2f%2fwww.solent.ac.uk%2fcourses%2fpostgraduate%2fapplied-ai-and-data-science-msc%2f2021%2fmsc-applied-ai-and-data-science-january-2022-1-year-full-time%23about-course
['MSc Big Data and Text Analytics'],['University of Essex'],['School of Computer Science and Electronic Engineering'],"['We will consider applicants with a 2:2 degree in one of the following subjects: ', ' ', 'Computer science, Computer Engineering, Computer Networks, Computer Games, Computing, Software Engineering, with at least one other computer-related module. ', ' ', 'OR ', ' ', 'A 2.2 degree in: ', ' ', 'Electronic Engineering, Electrical Engineering, IT/Information Technology, Telecommunication Engineering, Information Engineering, Automation, Mechatronic Engineering, Mathematics, Physics, with at least one Maths module and one programming module. ', ' ', 'We accept a wide range of qualifications from applicants studying in the EU and other countries. Get in touch with any questions you may have about the qualifications we accept.']",https://www.findamasters.com/common/clickCount.aspx?theid=43078&type=211&did=4395&url=https%3a%2f%2fwww.essex.ac.uk%2fcourses%2fpg00463%2f1%2fmsc-big-data-and-text-analytics%3futm_campaign%3dnn-pg-advertising-campaign-2048%26utm_source%3dfind-a-masters%26utm_medium%3dcourse-listing%26utm_content%3dmsc-big-data-and-text-analytics
['MSc Finance and Big Data Analytics'],['Swansea University'],['School of Management'],"['Students must attain a 2:2 (or overseas equivalent) in an undergraduate degree. Any degree subject will be considered. ', ' ', 'We consider all applications on their merits and will look at each individual case before making an offer so students who fall slightly short of the entry criteria should still apply to the School of Management. ', ' ', ""For students who fall significantly short of the general entry requirement, we offer a Pre-Master's programme via The College, Swansea University that will allow you entry on to our postgraduate programmes.""]",https://www.findamasters.com/common/clickCount.aspx?theid=30483&type=211&did=239&url=https%3a%2f%2fwww.swansea.ac.uk%2fpostgraduate%2ftaught%2fsom%2faccounting-finance%2fmsc-finance-big-data-analytics%2f
['Data Science and Computational Intelligence MSc'],['Coventry University'],"['Faculty of Engineering, Environment and Computing']","['Applicants for this programme will normally be expected to possess a minimum of a second class honours degree in Computer science, Mathematics or other relevant discipline. ', ' ', 'Each application will be considered on its merits and the final decision will be made by the course director.']",https://www.findamasters.com/common/clickCount.aspx?theid=29543&type=211&did=2694&url=https%3a%2f%2fwww.coventry.ac.uk%2fcourse-structure%2fpg%2feec%2fdata-science-and-computational-intelligence-msc%2f%3fterm%3d2022-23
"['Data Science (with specialisation in Visualization) MSc, PGDip, PGCert']",['Newcastle University'],['School of Computing'],"['A 2:1 BSc honours degree, or international equivalent, in: ', ' ', '- computer science ', '- mathematics ', '- statistics ', '- an engineering discipline with programming experience ', ' ', 'We have a strong track record of admitting applicants from a non-standard background and individuals with strong relevant work experience are encouraged to apply and will be considered on an individual basis.']",https://www.findamasters.com/common/clickCount.aspx?theid=63969&type=211&did=3189&url=https%3a%2f%2fwww.ncl.ac.uk%2fpostgraduate%2fdegrees%2f5450f%2f%3futm_campaign%3dpostgrad%26utm_source%3dfindamasters%26utm_medium%3dlisting%26utm_content%3dData_Science_(with_Specialisation_in_Visualization)
['Advanced Data Science MSc'],['Bangor University'],"['College of Arts, Humanities and Business']","['A recognised undergraduate degree in Computer Science or a related field at Second class minimum, or international equivalent. ', ' ', 'Applicants from overseas must also demonstrate competence in English to IELTS 6.0, with no individual component below 5.5.']",https://www.findamasters.com/common/clickCount.aspx?theid=62055&type=211&did=8006&url=https%3a%2f%2fwww.bangor.ac.uk%2fcomputer-science-and-electronic-engineering%2fpostgraduate-courses%2fadvanced-data-science-msc%3futm_source%3dFindamasters%26utm_medium%3ddisplay%26utm_content%3dFeaturedlisting%26utm_campaign%3dESEPG
['MSc Health Data Science'],['The University of Manchester'],"['Faculty of Biology, Medicine and Health']","['We require an honours degree (minimum Upper Second) or overseas equivalent in: ', ' ', 'mathematics ', 'statistics ', 'computer science ', 'physical science ', 'biomedical science (including epidemiology, biological sciences or medicine/nursing) ', ' ', 'Visit our website for full details.']",https://www.findamasters.com/common/clickCount.aspx?theid=63983&type=211&did=7659&url=https%3a%2f%2fwww.manchester.ac.uk%2fstudy%2fmasters%2fcourses%2flist%2f10076%2fmsc-health-data-science%2f
['Data Science and Advanced Computing'],['University of Reading'],['Department of Computer Science'],"['Normally at least a 2:2 undergraduate honours degree in computing or a related discipline. These include (but are not limited to) mathematics, engineering, physics, chemistry, economics, or relevant work experience. You must have some experience of programming. ', ' ', 'IELTS: 6.5 overall with no element less than 5.5 (or equivalent).']",https://www.findamasters.com/common/clickCount.aspx?theid=33906&type=211&did=719&url=https%3a%2f%2fwww.reading.ac.uk%2fready-to-study%2fstudy%2fsubject-area%2fcomputer-science-pg%2fmsc-data-science-and-advanced-computing
['Data Science - MSc'],['University of Birmingham'],['School of Computer Science'],['2:1 Honours degree in any subject plus Grade A (or above) in A Level Mathematics or equivalent (if your first degree is not Mathematics). Please upload evidence of this at the point of making your application. We cannot consider your application without this.'],https://www.findamasters.com/common/clickCount.aspx?theid=70650&type=211&did=4297&url=https%3a%2f%2fwww.birmingham.ac.uk%2fpostgraduate%2fcourses%2ftaught%2fcomputer-science%2fdata-science.aspx
['MSc Data Science and Artificial Intelligence with a Year in Industry'],['University of Liverpool'],['Department of Computer Science'],"['You will normally need a high 2:1 honours degree (65%), or above, or equivalent. This degree should be in a subject that’s not related to computer science. ', ' ', 'If you hold a bachelor’s degree or equivalent, but don’t meet our entry requirements, you could be eligible for a Pre-Master’s course. This is offered on campus at the University of Liverpool International College, in partnership with Kaplan International Pathways.']",https://www.findamasters.com/common/clickCount.aspx?theid=62233&type=211&did=913&url=https%3a%2f%2fwww.liverpool.ac.uk%2fcourses%2f2024%2fdata-science-and-artificial-intelligence-with-a-year-in-industry-msc
['Applied Data Analytics MSc'],['University of the Highlands and Islands'],"['Science, Health and Engineering']","['2:2 honours degree or above in a numerate subject, or in any other subject with relevant work experience ', 'Applicants with an ordinary degree or equivalent qualification plus relevant work experience, at a suitable level and for an appropriate length of time, will be considered on an individual basis ', 'Qualifications from an approved professional body will also be taken into account']",https://www.findamasters.com/common/clickCount.aspx?theid=61336&type=211&did=8458&url=https%3a%2f%2fwww.uhi.ac.uk%2fen%2fcourses%2fmsc-applied-data-analytics%2f
['MSc Data Analytics'],['Queen Mary University of London'],['School of Mathematical Sciences'],"['The majority of our applicants will have an undergraduate degree with first-class or upper second class honours (or international equivalent). Offers will typically be made at 2.1 level (upper second class) or equivalent. Students with a good lower second class degree may be considered on an individual basis. In some cases, your offer may include additional conditions, such as minimum grades in specified modules, in order to ensure that you are sufficiently qualified for our MSc programmes. ', ' ', 'Students applying to this programme should have studied a subject with a substantial mathematical component at the undergraduate level.']",https://www.findamasters.com/common/clickCount.aspx?theid=55297&type=211&did=2162&url=https%3a%2f%2fwww.qmul.ac.uk%2fpostgraduate%2ftaught%2fcoursefinder%2fcourses%2fdata-analytics-msc%2f
['MSc Big Data and High Performance Computing with a Year in Industry'],['University of Liverpool'],['Department of Computer Science'],"['You will normally need a 2:1 honours degree, or above, or equivalent. This degree should be in computer science or a closely related subject. ', ' ', 'If you hold a bachelor’s degree or equivalent, but don’t meet our entry requirements, you could be eligible for a Pre-Master’s course. This is offered on campus at the University of Liverpool International College, in partnership with Kaplan International Pathways.']",https://www.findamasters.com/common/clickCount.aspx?theid=45433&type=211&did=913&url=https%3a%2f%2fwww.liverpool.ac.uk%2fcourses%2f2024%2fbig-data-and-high-performance-computing-with-a-year-in-industry-msc
['Geospatial Data Science & Modelling - MSc'],['University of Glasgow'],['College of Science and Engineering'],"['A 2.1 equivalent degree (GPA 3.0) in a relevant field such as geography, earth or environmental science. The programme requires some basic mathematical competence and a pass at Scottish Higher, GCE A Level/IB or equivalent in mathematics is recommended. Significant use is made of computers and IT, but there is no specific entry requirement. ', ' ', 'Applicants with a high 2.2 equivalent degree classification may be considered for entry. ', ' ', 'Entry without standard academic qualifications, or with technical qualifications in geomatics for those with significant practical experience in related employment, will be considered on an individual basis. ', ' ']",https://www.findamasters.com/common/clickCount.aspx?theid=72073&type=211&did=4813&url=https%3a%2f%2fwww.gla.ac.uk%2fpostgraduate%2ftaught%2fgeospatial-data-science-modelling%2f%3futm_source%3dfind-a-masters%26utm_medium%3dprofile%26utm_campaign%3dmar-cose-pg%26utm_content%3dgeospatial-data-science-modelling
['MSc Management with Data Analytics'],['BPP University'],['Accountancy and Management courses'],"['The entry requirements to study the MSc Management with Data Analytics are as follows: ', ' ', 'A minimum of a 2:2 Honours degree in a related subject (e.g. STEM – Science, Technology, Economics, Maths) from a UK or recognised international university; or ', 'A minimum of a 2:1 Honours degree in a non-related subject from a UK or recognised international university ', 'Following a review of applications, you may be required to: ', ' ', 'Attend a face-to-face or Skype interview, or ', 'Take part in a telephone interview']",https://www.findamasters.com/common/clickCount.aspx?theid=68168&type=211&did=5106&url=https%3a%2f%2fwww.bpp.com%2fcourses%2fleadership-and-management%2fpostgraduate%2fmsc-management-data-analytics
['Data Science MSc'],['University of Greenwich'],['School of Computing and Mathematical Sciences'],"['You should hold an undergraduate (honours) degree at 2:2 or above in a computer science, AI, data science, or a relevant STEM subject (e.g. physics, engineering, mathematics, statistics, IT) ', ' ', 'OR substantial commercial/industrial experience including software development using modern programming languages and design. ', ' ', 'Applicants who do not hold an undergraduate degree in computer science, AI, data science, or a relevant STEM subject, should consider MSc Data Science and its Applications, a specialist course designed for applicants from any background. ', ' ', 'We welcome applications from mature students and/or students with professional work backgrounds.']",https://www.findamasters.com/common/clickCount.aspx?theid=56314&type=211&did=6382&url=https%3a%2f%2fwww.gre.ac.uk%2fpostgraduate-courses%2fengsci%2fcomputer-science-data-science-msc
['Health Data Science MSc/PgDip/PgCert'],['University of Exeter'],['Clinical and Biomedical Sciences'],"['You will have, or be predicted, at least a 2:2 degree in a strongly numerate subject (e.g. computer science, mathematics, physics), OR a 2:2 in a health/life sciences degree AND demonstrate good programming ability in a modern computer language. Alternatively you will have strong skills in maths, computing or engineering, but not necessarily have a degree. ', ' ', 'Computer programming ability will be assessed with a short simple test as part of the selection process. We will also use your personal statement and a short interview to determine which students receive full fees and stipend.']",https://www.findamasters.com/common/clickCount.aspx?theid=61787&type=211&did=8971&url=https%3a%2f%2fwww.exeter.ac.uk%2fstudy%2fpostgraduate%2fcourses%2fmedicine%2fhealthdatasciencemsc%2f%3futm_source%3dfindamasters%26utm_medium%3daffiliate%26utm_campaign%3duoe-courselisting-pgt-healthdatascience
['MSc - Data Analytics (including Professional Practice)'],['Aston University'],['College of Engineering & Physical Sciences'],"['We expect applications from graduates of Mathematics, Statistics, Computer Science, Engineering, Physics or Data Science or related disciplines, with a qualification equivalent to a UK BSc with Honours at 2:2 or higher. Evidence of knowledge of Mathematics and Programming should also be provided when the degree is not in Computer Science (i.e. transcript of degree programme or work experience). When a transcript is provided, the Mathematics and Programming grades should be equivalent to UK 60% or higher. Candidates may be interviewed prior to the offer decision. ', ' ', 'Please see course website for further details.']",https://www.findamasters.com/common/clickCount.aspx?theid=61356&type=211&did=4156&url=https%3a%2f%2fwww.aston.ac.uk%2fstudy%2fcourses%2fdata-analytics-including-professional-practice-msc%2fseptember-2023
['MSc Data Science (Mathematics)'],['The University of Manchester'],['School of Social Sciences'],"['High 2:1 honours degree (or overseas equivalent) ', ' ', 'When assessing your academic record we take into account your grades, your academic references, and the standing of the institution where you studied. ', ' ', 'See website for further details.']",https://www.findamasters.com/common/clickCount.aspx?theid=59105&type=211&did=4476&url=https%3a%2f%2fwww.manchester.ac.uk%2fstudy%2fmasters%2fcourses%2flist%2f11428%2fmsc-data-science-mathematics%2f
['MSc Data Science (Business and Management)'],['The University of Manchester'],['School of Social Sciences'],"['High 2:1 honours degree (or overseas equivalent) ', ' ', 'For this pathway, we normally expect applicants to hold a degree in a quantitative or computational subject such as mathematics, statistics, management science or economics, physics, engineering or computer science. Applicants with extensive Business and Management industrial experience combined with an honours degree in a quantitative subject may also be considered for admission. ', ' ', 'See website for further details.']",https://www.findamasters.com/common/clickCount.aspx?theid=59103&type=211&did=4476&url=https%3a%2f%2fwww.manchester.ac.uk%2fstudy%2fmasters%2fcourses%2flist%2f11426%2fmsc-data-science-business-and-management%2f
['MSc Data Science (Social Analytics)'],['The University of Manchester'],['School of Social Sciences'],"['High 2:1 honours degree (or overseas equivalent) ', ' ', 'When assessing your academic record we take into account your grades, your academic references, and the standing of the institution where you studied. ', ' ', 'See website for further details.']",https://www.findamasters.com/common/clickCount.aspx?theid=51365&type=211&did=4476&url=https%3a%2f%2fwww.manchester.ac.uk%2fstudy%2fmasters%2fcourses%2flist%2f11424%2fmsc-data-science-social-analytics%2f
['Child Protection Data Futures MSc'],['University of Edinburgh'],['Edinburgh Futures Institute'],"['Entry requirements for individual programmes vary, so please check the details for the specific programme you wish to apply for on our website. You will also need to meet the University’s language requirements.']",https://www.findamasters.com/common/clickCount.aspx?theid=72239&type=211&did=8704&url=https%3a%2f%2fwww.ed.ac.uk%2fstudying%2fpostgraduate%2fdegrees%2findex.php%3fr%3dsite%2fview%26edition%3d2024%26id%3d1108utm_source%3dfindamasters%26utm_medium%3dprogramme%26utm_campaign%3dpg_institution_profiles%26utm_term%3d%26utm_content%3dlisting
['MDS Master of Data Science (Bioinformatics and Biological Modelling)'],['Durham University'],['Department of Computer Science'],"['A UK first or upper second class honours degree or equivalent in ANY degree that doesn’t include a strong data science component including those in social sciences, the arts and humanities, business, and sciences. ', ' ', 'Candidates with a degree in Biological or Physical sciences are strongly encouraged to apply.']",https://www.findamasters.com/common/clickCount.aspx?theid=68740&type=211&did=1411&url=https%3a%2f%2fwww.durham.ac.uk%2fstudy%2fcourses%2fmaster-of-data-science-bioinformatics-and-biological-modelling-g5p223%2f
['Health Data Science (MSc)'],['University of St Andrews'],['Interdisciplinary Studies'],"['A 2.1 Honours undergraduate degree. If you studied your first degree outside the UK, see the international entry requirements. ', ' ', 'You should some have experience in statistical data analysis and some familiarity with methods such as sampling and regression. This might be through one of the following: ', 'an advanced secondary school or high school level qualification in statistics or another quantitative scientific subject ', 'undergraduate-level modules in a quantitative scientific subject ', 'relevant professional experience. ', ' ', 'Experience in computer programming is useful but is not essential. ', ' ', 'English language proficiency. ', ' ', 'For further details, please ']",https://www.findamasters.com/common/clickCount.aspx?theid=53928&type=211&did=7295&url=https%3a%2f%2fwww.st-andrews.ac.uk%2fsubjects%2finterdisciplinary%2fhealth-data-science-msc%2f
['MSc - Data Science'],['Liverpool Hope University'],"['School of Mathematics, Computer Science and Engineering']","['Normally a First Class or Upper Second Class Honours Degree in Data Science, Computer Science, Computing, Science, or engineering-based discipline. ', ' ', 'For students whose first language is not English there is a language requirement of IELTS 6.5 overall with 6.0 minimum of all components. In addition to this, we also accept a wide range of International Qualifications, for more information please visit our English Language Requirements page. ', ' ', 'For additional information about country specific entry requirements visit the your country pages.']",https://www.findamasters.com/common/clickCount.aspx?theid=51171&type=211&did=4253&url=https%3a%2f%2fwww.hope.ac.uk%2fpostgraduate%2fpostgraduatecourses%2fdatasciencemsc%2f
['Data Science - MSc'],['Aberystwyth University'],['Computer Science'],"['2:2 Bachelors (Honours) degree, or equivalent, in any discipline. Non-graduates will be considered individually based on relevant work experience. ', ' ', 'English Language Requirements IELTS 6.0 with minimum 5.5 in each component, or equivalent ', ' ', 'Other Requirements Applicants are encouraged to submit an up-to-date CV as part of their application.']",https://www.findamasters.com/common/clickCount.aspx?theid=49180&type=211&did=2965&url=https%3a%2f%2fcourses.aber.ac.uk%2fpostgraduate%2fmasters-data-science%2f
['Data Science and Analytics - MSc'],['University of Leeds'],['School of Mathematics'],"['This is an extremely popular MSc. To be considered you will need to provide evidence of: ', ' ', 'A bachelor degree with a first or high 2:1 (Hons) in a subject containing a substantial mathematical, statistical and/or computing component. ', 'All your key modules should have strong grades (mainly firsts with no key marks below 2:1). ', 'You must provide a list of the type and level of maths/computing modules that you have studied if this is not obvious from your transcript. ', ' ', 'We do not normally accept degrees in accountancy or finance for this MSc.']",https://www.findamasters.com/common/clickCount.aspx?theid=42615&type=211&did=4893&url=https%3a%2f%2fcourses.leeds.ac.uk%2fi071%2fdata-science-and-analytics-msc
['MASc - Data Visualisation'],['University of Warwick'],['Centre for Interdisciplinary Methodologies'],['2:1 undergraduate degree (or equivalent). There is no requirement for prior knowledge of coding or programming.'],https://www.findamasters.com/common/clickCount.aspx?theid=67151&type=211&did=7067&url=https%3a%2f%2fwarwick.ac.uk%2fstudy%2fpostgraduate%2fcourses%2fdatavisualisation%2f
['Data Science MSc'],['Nottingham Trent University'],['School of Science & Technology'],"['UK honours degree (minimum 2.2) or equivalent in a technical or scientific subject, which includes, but is not limited to, sport science, biomedical, economics, information systems and multimedia. Other subjects will be considered on a case-by-case basis. ', 'Applicants with relevant employment experience or other relevant qualifications will also be considered.']",https://www.findamasters.com/common/clickCount.aspx?theid=61273&type=211&did=2899&url=https%3a%2f%2fwww.ntu.ac.uk%2fcourse%2fscience-and-technology%2fpg%2fmsc-data-science%3futm_campaign%3dSAT-Profiles%26utm_medium%3dProfile%26utm_source%3dFindAMasters%26utm_content%3dCourseListing%26utm_term%3dSAT
['Mathematics and Data Science MSc'],['University of Stirling'],"['Business, Management and Law']","['A minimum of a second-class Honours degree, or equivalent, in a numerate subject, e.g. mathematics, physics, engineering, economics; along with some evidence of a mathematical background, such as having taken and passed mathematics modules in at least some of calculus, algebra, statistics and numerical analysis.']",https://www.findamasters.com/common/clickCount.aspx?theid=53567&type=211&did=8075&url=https%3a%2f%2fwww.stir.ac.uk%2fcourses%2fpg-taught%2fmathematics-and-data-science%2f
['MSc Data Science and Analytics (with a Year in Industry)'],"['Royal Holloway, University of London']",['Department of Computer Science'],"['2:1 degree in Computer Science, Economics, Mathematics, Physics, or other subjects that include a strong element of both mathematics and computing. ', ' ', 'Normally we require a UK 2:1 (Honours) or equivalent in relevant subjects but we will consider high 2:2 or relevant work experience. Candidates with professional qualifications in an associated area may be considered. Where a ‘good 2:2’ is considered, we would normally define this as reflecting a profile of 57% or above.']",https://www.findamasters.com/common/clickCount.aspx?theid=42155&type=211&did=2074&url=https%3a%2f%2fwww.royalholloway.ac.uk%2fstudying-here%2fpostgraduate%2fcomputer-science%2fdata-science-and-analytics-with-a-year-in-industry%2f
['Data Analysis for Business Intelligence - MSc'],['University of Leicester'],['Mathematics'],['2:2 degree in Maths or related subject (eg. Physics) or equivalent international qualification. If your background is in computer science we will assess your student transcript.'],https://www.findamasters.com/common/clickCount.aspx?theid=30803&type=211&did=952&url=https%3a%2f%2fad.doubleclick.net%2fddm%2fclk%2f537409566%3b346013574%3bn
['MSc Data Science and Big Data Analytics'],['Wrexham University'],['Computing'],"['Normal entry requirements for full time and part time will be one of: ', ' ', '- A Bachelor of Science Honours degree, normally 2:2 or above, in a relevant subject area for example Computing, Maths etc., ', '- Academic qualifications in other subject areas or at a lower level than honours degree but supported by a maturity of experience at a professional level in a relevant specialist area. ', '- Equivalent qualifications of another overseas country which are deemed satisfactory by the program team. ', ' ', 'Visit website for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=62342&type=211&did=4239&url=https%3a%2f%2fglyndwr.ac.uk%2fcourses%2fpostgraduate-courses%2fData-Science-and-Big-Data-Analytics%2f
['Data Science MSc'],['Middlesex University'],['Faculty of Science and Technology'],"['A 2:2 honours degree in a mathematically or computationally literate degree area. ', 'Applicants with degrees in other fields who can demonstrate relevant industrial experience may also be considered.']",https://www.findamasters.com/common/clickCount.aspx?theid=52200&type=211&did=5300&url=https%3a%2f%2fwww.mdx.ac.uk%2fcourses%2fpostgraduate%2fdata-science-msc
['MSc Health Data Science'],['University of Liverpool'],['Department of Health Data Science'],"['You will normally need a 2:1 honours degree or above, or equivalent. This degree should include substantial quantitative methods content in statistics and/or computer science. ', ' ', 'We also encourage applications from those working in health-related professions or those with non-standard qualifications. Each application will be assessed on its own merits. ', ' ', 'As part of your application, you will be required to provide a personal statement outlining your learning ambitions, past achievements in academic or professional activities relevant to the programme and data science experience to date.']",https://www.findamasters.com/common/clickCount.aspx?theid=64888&type=211&did=8606&url=https%3a%2f%2fwww.liverpool.ac.uk%2fcourses%2f2024%2fhealth-data-science-msc
['Geographic Data Science and Spatial Analytics - MSc'],['University of Bristol'],['Faculty of Science'],"['An upper second-class honours degree. Applicants must have achieved 60% minimum or international equivalent in at least one module in Applied Statistics, Mathematics, Python or R as evidenced in their transcript. Online courses in data science may be considered on a case by case basis. ', ' ', 'For more information visit the institution website.']",https://www.findamasters.com/common/clickCount.aspx?theid=66486&type=211&did=6198&url=https%3a%2f%2fwww.bristol.ac.uk%2fstudy%2fpostgraduate%2fsci%2fmsc-geographic-data-science-and-spatial-analytics%2f%3futm_source%3dfindamasters.com%26utm_medium%3dreferral%26utm_campaign%3dlistings
['Data Analytics - MSc'],['Oxford Brookes University'],"['School of Engineering, Computing and Mathematics']","['You should normally hold a good (first or second class) degree in the physical or social sciences which has developed analytical knowledge and understanding in mathematical sciences. ', ' ', 'Typically this includes candidates with knowledge and familiarity with basic computing, mathematics and statistics concepts and methods at degree level. ', ' ', 'Applicants with other qualifications, plus work experience from other fields, who have quantitative skills and familiarity with data analysis and modelling ideas will also be considered.']",https://www.findamasters.com/common/clickCount.aspx?theid=53658&type=211&did=6131&url=https%3a%2f%2fad.doubleclick.net%2fddm%2fclk%2f563222422%3b372252676%3bd
['Data Science (PgCert/PgDip/MSc)'],['Robert Gordon University'],['School of Computing'],"['Applicants normally hold a 2:2 undergraduate honours degree or its equivalent in Mathematics, Statistics, Computing or any other analytical discipline. ', 'Applicants with a lower degree classification and / or relevant work experience will be considered on a case by case basis. ', ' ', 'ENGLISH LANGUAGE REQUIREMENTS ', 'Applicants whose first language is not English should have an IELTS of 6.0 overall, with no component lower than 5.5, or an equivalent. ', ' ', 'INTERNATIONAL STUDENTS ', 'International students who do not meet our direct entry requirements for this course can gain additional entry points through our International College at Robert Gordon University.']",https://www.findamasters.com/common/clickCount.aspx?theid=41498&type=211&did=2092&url=https%3a%2f%2fwww.rgu.ac.uk%2fstudy%2fcourses%2f957-pgcert-pgdip-msc-data-science
['MSc Applied Data Science'],['University of Buckingham'],['School of Computing'],"['2:1 (or above) honours degree in Computing, Engineering, Physics or Mathematics. If your first language is not English, you will also need an IELTS score of 6.5 with at least 6.0 in each component.']",https://www.findamasters.com/common/clickCount.aspx?theid=53230&type=211&did=8041&url=https%3a%2f%2fwww.buckingham.ac.uk%2fsciences%2fmsc%2fapplied-data-science%2f%3futm_source%3dfindamasters.com%26utm_medium%3dprogramme-listing
['Data Science with Advanced Research - MSc'],['University of Hertfordshire'],"['School of Physics, Engineering and Computer Science']","['For Near-STEM students, the normal entry requirements for the programme are a good (2:1 or above) Honours Degree (or equivalent) in a STEM subject (e.g. Mathematics, Engineering, Physical Sciences etc). If a student has a relevant STEM degree, then they will be considered ‘Near-STEM’. They will be offered the opportunity to participate in the Data Science Core Skills bootcamp but will not be required to participate/attend. ', ' ', 'For Far-STEM students, the normal entry requirements for the programme are a good (2:1 or above) Honours Degree (or equivalent). The subject of the degree is not defined.']",https://www.findamasters.com/common/clickCount.aspx?theid=73341&type=211&did=64&url=https%3a%2f%2fwww.herts.ac.uk%2fcourses%2fpostgraduate-masters%2fmsc-data-science-with-advanced-research2
['Data Science with Placement Year - MSc'],['University of Hertfordshire'],"['School of Physics, Engineering and Computer Science']","['For Near-STEM students, the normal entry requirements for the programme are a good (2:1 or above) Honours Degree (or equivalent) in a STEM subject (e.g. Mathematics, Engineering, Physical Sciences etc). If a student has a relevant STEM degree, then they will be considered ‘Near-STEM’. They will be offered the opportunity to participate in the Data Science Core Skills bootcamp but will not be required to participate/attend. ', ' ', 'For Far-STEM students, the normal entry requirements for the programme are a good (2:1 or above) Honours Degree (or equivalent). The subject of the degree is not defined.']",https://www.findamasters.com/common/clickCount.aspx?theid=73340&type=211&did=64&url=https%3a%2f%2fwww.herts.ac.uk%2fcourses%2fpostgraduate-masters%2fmsc-data-science-with-placement-year2
